ACCOUNT_ID,AVAIL_BALANCE,LAST_ACTIVITY_DATE,OPEN_DATE,PENDING_BALANCE,STATUS,CUST_ID,OPEN_BRANCH_ID,OPEN_EMP_ID,PRODUCT_CD
1,1057.75,2005-01-04 00:00:00,2000-01-15 00:00:00,1057.75,ACTIVE,1,2,10,CHK
2,500,2004-12-19 00:00:00,2000-01-15 00:00:00,500,ACTIVE,1,2,10,SAV
3,3000,2004-06-30 00:00:00,2004-06-30 00:00:00,3000,ACTIVE,1,2,10,CD
4,2258.02,2004-12-27 00:00:00,2001-03-12 00:00:00,2258.02,ACTIVE,2,2,10,CHK
5,200,2004-12-11 00:00:00,2001-03-12 00:00:00,200,ACTIVE,2,2,10,SAV
6,1057.75,2004-11-30 00:00:00,2002-11-23 00:00:00,1057.75,ACTIVE,3,3,13,CHK
7,2212.5,2004-12-05 00:00:00,2002-12-15 00:00:00,2212.5,ACTIVE,3,3,13,MM
8,534.12,2005-01-03 00:00:00,2003-09-12 00:00:00,534.12,ACTIVE,4,1,1,CHK
9,767.76999999999998,2004-10-24 00:00:00,2000-01-15 00:00:00,767.76999999999998,ACTIVE,4,1,1,SAV
10,5487.0900000000001,2004-11-11 00:00:00,2004-09-30 00:00:00,5487.0900000000001,ACTIVE,4,1,1,MM
11,2237.9699999999998,2005-01-05 00:00:00,2004-01-27 00:00:00,2897.9699999999998,ACTIVE,5,4,16,CHK
12,122.37,2004-11-29 00:00:00,2002-08-24 00:00:00,122.37,ACTIVE,6,1,1,CHK
13,10000,2004-12-28 00:00:00,2004-12-28 00:00:00,10000,ACTIVE,6,1,1,CD
14,5000,2004-01-12 00:00:00,2004-01-12 00:00:00,5000,ACTIVE,7,2,10,CD
15,3487.1900000000001,2005-01-03 00:00:00,2001-05-23 00:00:00,3487.1900000000001,ACTIVE,8,4,16,CHK
16,387.99000000000001,2004-10-12 00:00:00,2001-05-23 00:00:00,387.99000000000001,ACTIVE,8,4,16,SAV
17,125.67,2004-12-15 00:00:00,2003-07-30 00:00:00,125.67,ACTIVE,9,1,1,CHK
18,9345.5499999999993,2004-10-28 00:00:00,2004-10-28 00:00:00,9845.5499999999993,ACTIVE,9,1,1,MM
19,1500,2004-06-30 00:00:00,2004-06-30 00:00:00,1500,ACTIVE,9,1,1,CD
20,23575.119999999999,2004-12-15 00:00:00,2002-09-30 00:00:00,23575.119999999999,ACTIVE,10,4,16,CHK
21,0,2004-08-28 00:00:00,2002-10-01 00:00:00,0,ACTIVE,10,4,16,BUS
22,9345.5499999999993,2004-11-14 00:00:00,2004-03-22 00:00:00,9345.5499999999993,ACTIVE,11,2,10,BUS
23,38552.050000000003,2004-12-15 00:00:00,2003-07-30 00:00:00,38552.050000000003,ACTIVE,12,4,16,CHK
24,50000,2004-12-17 00:00:00,2004-02-22 00:00:00,50000,ACTIVE,13,3,13,SBL
